Contig	TXAS01	TXAS02	TXAS06	TXAS09	TXAS10	TXAS11	TXAS12	TXAS14	TXAS15	TXAS18	TXAS20	TXAS21	TXAS24	TXAS25	TXAS29	TXAS30	TXAS31	TXAS33	TXAS35	TXAS39	TXAS42	TXAS44	TXAS46	TXAS47	TXAS48	TXAS50	TXAS51	TXAS52	TXAS53	TXHC02	TXHC03	TXHC04	TXHC05	TXHC06	TXHC08	TXHC10	TXHC12	TXHC13	TXHC15	TXHC16	TXHC17	TXHC18	TXHC19	TXHC20	TXHC21	TXHC22	TXHC23	TXHC24	TXHC25	TXHC26	TXHC27	TXHC28	TXHC29	TXHC30	TXHC31	TXHC32	TXHC33	TXHC35
vOUT1453	498	559	0	120	13	30	0	0	0	8	1003	2317	0	23	1661	0	0	2135	0	2177	458	10	1666	4982	0	0	166	25463	140	153	855	1550	1296	2021	2014	456	350	50	0	0	176	3	218	0	1503	0	936	14	0	0	0	748	1771	2938	0	0	188	43
vOUT1454	2631	7768	2255	229	2418	725	14437	310	49	1338	9795	2318	894	1568	1415	20567	3794	1872	469	5006	39301	9412	1725	773	686	92	755	50552	1099	249	898	894	3994	1371	3674	4727	1364	1473	6014	1664	60027	17838	11648	1197	1240	5096	421	3829	63434	1754	372	2896	7210	3623	2843	5397	1966	2374
vOUT1455	4	31	168	750	293	132	16	15	0	746	10495	111	0	138	33	0	30	127	0	571	189	39	451	1590	195	0	1610	14472	1729	1817	691	1635	5960	218	837	279	15	409	13	0	1152	304	3128	70	74	183	241	736	1	3	8	3771	822	1270	0	0	914	433
vOUT1456	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	1979	0	0	654	1298	0	0	0	8	0	33695	0	0	0	0	0	0	0	126	0	116	0	0	11379	241	1	4296	0	0	0	0	0	0	0	2908	1	2	4855	2	36538	0
vOUT1457	519	731	1283	284	741	1322	1350	346	2	2751	39432	10004	335	857	1155	5818	2071	1845	1319	3464	5147	2929	6932	4480	10143	232	5881	17627	13321	355	733	2456	1071	6437	386	635	178	652	8493	5856	3368	5856	2373	2927	777	744	1498	1653	928	624	263	5397	2026	19987	4582	468	4182	1607
vOUT1458	758	47	364	10	1	6	2926	1	38	13	99	121	10	6	1647	8328	1059	0	13	8	11159	8	41	51	21	4772	7	28591	35	13	9	8	36	21	281	292	200	10	6855	33178	294	34	5	17	5	18765	65	6	7	499	0	11	24	55	5179	39690	40	2
vOUT1459	0	0	459	0	77	80458	23319	4379	0	0	0	0	0	4133	0	0	0	17	0	63027	30839	5755	0	0	0	0	4242	2080864	0	0	0	0	1	183	5	0	6010	0	1	8	0	6	2	4	1	0	0	0	0	0	1326	100234	0	1	0	0	0	0
vOUT146	0	0	0	18348	7	0	0	1019	0	0	0	0	6231	0	0	0	0	0	0	7	0	73	0	0	0	0	0	0	0	0	0	45	1	0	0	3	0	45	0	0	0	178	0	0	104	0	0	0	0	0	0	405	264	0	0	0	0	0
vOUT1460	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	11	0	0	0	0	0	0	2	0	0	6120	0	0	82	7	0	15	0	91	0	2	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0
vOUT1461	106	2348	23	3082	6963	131	11863	1857	4	8231	29805	1641	1763	8624	684	8219	25	24743	3428	2337	58	4921	9256	30	11540	47	14333	47882	11946	6858	12978	12930	46250	6484	3853	3777	6302	1399	22971	38865	3471	18233	15722	14729	38993	31595	194	3451	471	62	893	7787	36617	34658	8061	2041	18986	2913
vOUT1462	0	0	0	24	0	7	0	0	0	5	0	0	1061	0	0	0	0	1	0	1218	0	0	0	0	0	0	0	22219	0	0	0	0	0	1	0	22	0	0	0	0	0	1	20	158	72	0	0	0	0	0	0	5375	31	0	0	0	0	311
vOUT1463	1117	5632	0	654	1124	259	3553	278	260	871	12346	22563	954	287	454	0	1824	3399	213	3196	2773	496	1257	3776	3420	0	2144	22620	5177	1730	2281	1657	6188	2842	2891	992	7315	2975	13719	0	1744	1550	6706	9412	5266	32432	0	884	1041	525	259	10210	9157	5516	3	8331	26881	357
vOUT1464	319	753	57	1017	1707	147	3104	629	359	1982	12553	768	733	2325	250	2394	415	7799	904	665	251	1958	2817	937	4378	654	4427	26789	3137	3189	4042	4255	11209	3217	1028	1215	1896	267	8154	12709	1989	5855	9455	7966	10190	9870	1215	1129	137	242	282	2765	11580	10134	4107	880	6076	959
vOUT1465	2453	8660	2194	244	3052	1066	8345	533	168	740	15357	3541	626	2023	1132	23087	3490	3485	509	3123	31883	13311	4482	1068	215	33	1067	40474	1744	467	1219	853	3617	781	5078	5290	1790	1695	2874	656	61920	18117	12058	901	6715	7047	2205	4421	39688	2065	56	3373	11497	3187	2497	5238	4469	1527
vOUT1466	104	905	1554	42	368	427	744	394	0	0	4420	125	18	54	400	86	186	1104	391	800	66910	402	196	906	547	0	905	13941	516	350	314	522	1046	311	156	82	28	446	2979	487	498	175	2570	8	235	6060	1959	100	578	1541	16	202	240	2732	1124	1562	867	145
vOUT1467	0	762	0	0	373	0	0	21	0	101	1720	0	988	0	0	0	0	22	51	0	1	223	0	0	4453	0	0	122749	513	0	0	3	36	0	0	40	0	152	0	2	0	0	0	0	788	0	0	344	0	0	20	925	0	0	0	0	31	9
vOUT1468	2239	2572	5763	40	1054	147	20	3256	4	818	390	903	0	10	0	4	311	131	748	811	7432	91	114	0	1589	0	84	2003	0	385	349	675	470	671	206	301	2398	6266	896	0	7209	190	65	550	126	2107	318	223	796	36	27	593	133	0	245	285	3148	762
vOUT1469	0	0	101	0	52	0	0	0	2	0	0	4	0	0	0	27	6	146	0	0	102	0	6	0	4	0	0	30102	183	0	19	5	0	10	0	0	0	24	575	0	1	22	1518	2	0	781	0	0	286	0	0	0	0	0	1	10	0	0
vOUT147	0	6	2	36211	48006	4	4	22	768	1	2	0	0	0	2	1	4400	2	4	4	0	0	0	1	694	0	0	408	3	5	1	0	33	0	1	0	13	0	0	0	5	3	1	1246	402	0	2	0	10	679	1139	14033	1	0	1	0	3	3
vOUT1470	53	115	81	66	249	187	258	9	0	295	963	95	0	75	45	0	2	1071	0	435	275	204	959	5	676	0	2678	10003	528	369	208	46	1084	287	56	103	0	21	146	0	580	405	2268	391	3062	1290	54	706	22	0	5	3196	1058	1425	0	0	149	12
vOUT1471	0	1	0	0	4	8	2	0	0	0	70	0	2	6	0	6	0	0	2	0	0	0	0	31	11	40	0	11867	19	0	2	5	74	52	0	0	4	0	0	1	0	4	0	5	0	0	3	6	2	29	1	3	2	2	0	0	0	0
vOUT1472	0	441	56	10	5	19	35	0	0	231	133	9	5	1942	0	2	0	32	4	2	0	3	0	491	30	71	0	12164	188	3	130	35	165	30	6	2	10	3	0	4	52	50	0	0	0	0	0	87	33	65	21	21	182	48	31	0	0	0
vOUT1473	2	0	0	0	0	0	0	0	3	2	0	7	0	0	0	0	0	47	0	0	13	0	0	2	0	0	0	19679	0	0	15	0	1	41	1	0	0	119	0	65	0	0	0	0	0	0	6	0	6	0	0	0	0	0	2	0	0	0
vOUT1474	0	0	2	4	0	10	0	14	0	13	0	9	3	17	0	2	13	4	1	0	2	14	0	0	2	0	102	9075	74	17	0	12	0	11	0	0	3	2	3	1256	11	7	25	301	0	22	2	0	14	2	0	40	24	49	15	0	0	0
vOUT1475	0	0	0	2	0	0	7	0	0	749	6	0	0	168	4	0	14	0	2	0	14	1	67	2	2	66	0	4951	1	0	5	0	3	0	0	0	3	0	0	433	0	2	0	2	0	1	18	0	5	11	0	87	1	0	38	2	11	0
vOUT1476	86	60	10	0	10	0	2	4	1	9	519	79	0	0	10	89	3	61	32	23	615	47	0	20	5	21	6	5753	0	0	75	2	24	2	0	0	2	3	67	1	3	68	5	0	15	212	14	5	2	457	0	1	6	69	13	432	41	0
vOUT1477	230	9	89	4	23	0	2	0	0	31	808	0	0	0	46	26	27	24	20	26	479	27	21	301	12	131	65	4672	5	9	51	8	94	31	1	2	9	14	166	70	10	167	22	20	15	516	30	4	2	105	0	24	97	10	66	324	101	1
vOUT1478	2	0	0	2	2	3	1	48	0	58	11549	6	1	3	3	12	9	101	70	0	3	1419	0	6	1266	0	13	16114	10	6	0	21	41	9	0	1	13	1	1	10	3	10	5	3	1	2	4	455	0	0	0	1	1701	1	5	0	11	0
vOUT1479	0	0	0	0	0	0	0	0	0	31	0	0	0	0	117	0	0	0	0	0	0	0	0	0	45	0	0	1564	0	0	412	0	0	0	0	13	0	0	0	0	0	1	0	502	0	0	0	0	0	7	44	1697	87	0	0	0	0	0
vOUT148	0	29	1	2972	14	316	0	6	0	114	967	2	82	147	74	8	61	812	133	1419	9	32	21	1449	26	0	80	0	192	61	1126	395	4	69	439	15	91	57	1	2	4	115	129	73	1853	0	0	307	209	37	4	1465	741	397	5	210	22	21
vOUT1480	0	35	1	0	127	0	1	2	1727	5	0	9	0	94	1	0	0	6	0	27	0	66	0	10	0	514	157	444	163	7	0	5	258	0	0	0	4	0	0	118	71	115	0	94	2	9	0	30	536	854	57	106	3	158	63	838	233	1
vOUT1481	0	0	1	0	2	0	0	0	0	0	28	0	6	26	0	0	8	6	0	0	0	0	4	3	6	23	0	199	0	0	0	0	0	0	0	0	10	0	0	13	0	2	3	12	0	0	0	0	0	0	0	0	0	0	0	11	0	0
vOUT1482	749	0	0	336	95	5	0	14	0	3032	13	129	138	1477	188	0	763	16	106	347	42	603	13	5320	31	352	41	274	30	72	141	3388	2154	613	0	150	23	45	254	0	19	361	36	1	831	0	684	104	1344	0	71	564	10	164	510	0	252	527
vOUT1483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	16	0	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	6	0	0	0
vOUT1484	5020	1822	1864	9260	16	3414	12204	445	12849	35536	2451	10879	4815	26478	100	179	14883	39999	1493	303	902	9785	523	64	172515	1674	20956	144	283683	21436	77	103336	144830	10286	3101	2242	2574	23801	659	59	67260	124346	519	143	48815	34	1471	20967	4371	213144	2152	197835	5846	27611	20599	102	7702	4629
vOUT1485	0	0	0	34	0	3	0	0	0	1489	23131	1	11	11	256	151	30	19625	795	38363	310	9742	710	45529	40282	52	726	12	173972	261	3986	6286	5044	29158	56	4850	2	981	405	3	12	1062	1593	46	26	0	13957	45960	10	0	45	21521	16	3	56	5	114	106
