Contig,TXAS01,TXAS02,TXAS06,TXAS09,TXAS10,TXAS11,TXAS12,TXAS14,TXAS15,TXAS18,TXAS20,TXAS21,TXAS24,TXAS25,TXAS29,TXAS30,TXAS31,TXAS33,TXAS35,TXAS39,TXAS42,TXAS44,TXAS46,TXAS47,TXAS48,TXAS50,TXAS51,TXAS52,TXAS53,TXHC02,TXHC03,TXHC04,TXHC05,TXHC06,TXHC08,TXHC10,TXHC12,TXHC13,TXHC15,TXHC16,TXHC17,TXHC18,TXHC19,TXHC20,TXHC21,TXHC22,TXHC23,TXHC24,TXHC25,TXHC26,TXHC27,TXHC28,TXHC29,TXHC30,TXHC31,TXHC32,TXHC33,TXHC35
vOUT720,2,4,6,4,5,6,50,14,0,13,15,0,14,24,1708,34,2,7,27,65,4,9,32,21,14,14,8,12,51,30,9,78,28,37,8,30,20,0,24,5,37,10,151,10,12,87,65,108,16,51,0,20,33,17,17,1,1,11
vOUT721,9305,6236,3177,3558,12855,457,567,8071,17,5920,519,619,190,687,2714,62,1003,566,295,2012,492,1220,80,4898,1115,56,189,334,527,680,2083,1117,612,2039,3243,1146,1050,4350,1039,86,3531,5792,2989,2851,594,280,644,977,215,1459,208,4236,240,3510,1095,89,1107,1302
vOUT722,0,0,0,0,0,0,1066,0,1,4,11,0,186,44,122,507,76,11,16,14,440,146,109,47,14,0,44,1005,63,19,17,7,3,14,1,8,0,23,0,0,2,25,6,26,6,36,10,39,63,0,0,43,5,20,11,1,107,1
vOUT723,0,0,19,0,72,0,0,1,15,19,0,515,3,0,0,342970,0,0,400,11,2,304,44,14,0,594,11,12,42,40,0,0,17,141,0,0,0,0,1,85,7570,22,0,153,1,3,120,40,6,128,98,16,924,46,6,5882,66,24
vOUT724,0,0,5,0,41,0,0,0,25,4,4,302,4,0,0,223153,0,0,274,5,2,221,30,5,1,386,5,3,31,22,0,0,8,86,4,1,0,0,2,45,5780,8,0,96,0,5,73,24,5,85,67,9,680,49,5,4626,39,10
vOUT725,4,2104,529,21,187,8,5172,91,13,260,48,2665,21,412,2757,106608,1584,18,124,231,4111,565,428,1600,313,55,58,148,88,75,226,17,80,12,49,6,533,9,3649,19526,1364,31,54,711,30,200766,3134,50,4128,65505,86,18,253,1887,4332,24079,5814,87
vOUT726,9,561,317,4040,398,937,9210,280,2,2229,75,923,345,5200,2538,16294,1575,531,403,1320,312,766,5174,2742,2406,6,12,80,679,3507,54,1540,6338,3102,546,117,2025,1327,6304,7,489,357,3836,117,3753,11,382,410,2328,10,2110,596,485,646,1032,4,553,196
vOUT727,21987,13479,15526,10990,2338,3933,19492,7615,54,2133,96,1895,1456,936,357,16016,4851,2531,435,2353,19168,3865,1062,10317,651,134,1258,191,249,1452,13344,1109,11895,1742,11680,3259,13839,5460,7168,24,17318,9492,7153,4492,103,365,5990,7027,8509,12917,4979,2581,8007,5667,2040,1313,5983,1789
vOUT728,1396,2608,4873,2775,4181,4531,687,1866,126,16360,5195,25079,20863,5670,7780,28612,10104,6891,1794,12205,3151,3871,7568,23759,10910,1842,1698,921,19747,7242,16913,9383,18296,4293,3093,3564,7039,7481,4767,278,377,4811,2100,2012,10235,2212,885,5528,9961,943,245,6001,7042,48825,5618,2101,4327,2942
vOUT729,210,162,107,14,13,10,696,13,15,14,329,229,72,86,1010,11258,531,14,109,245,3175,54,754,21,128,2311,42,4326,70,90,18,29,52,74,80,65,90,48,1390,14263,337,287,52,151,62,5934,258,376,75,360,45,369,262,238,4338,14116,592,10
vOUT73,515990,244,450979,85998,93,471,46,262,19733,70542,10,107,20657,76622,11,15,43,19,75,218,75,75175,0,65,39,4447,11,5,2,13504,32,129,27,20971,128,39824,39,59388,47,2,35441,149820,85,5,31,3,106292,151,3,43379,30699,103,24672,10,114,10,152,27
vOUT730,44,711,188,41,24,42,240,64,1,12,75,510,0,15,11,31000,953,106,21,377,261,20,31,12,313,2685,450,231,588,10,266,21,251,17,4,10,63,38,2182,7343,108,313,185,2845,9,3932,123,1145,83,84,100,8,31,58,611,26,5,40
vOUT731,2127,3938,344,3511,1414,1734,1322,2151,2748,7226,8017,20421,8144,3869,11553,179617,14611,9070,3426,10756,6925,5679,12805,13741,15717,2585,2656,26439,32940,5719,9540,4834,10705,15815,3492,2774,3533,4265,16329,1956,18148,11309,10783,9289,13399,4798,16460,11405,6248,5245,641,8236,10896,10429,6619,1952,2467,3307
vOUT732,26,8,35,48,76,15,254,60,0,369,6809,536,5593,1677,3794,4526,1,83,140,1478,2,290,954,503,445,2,608,1300,500,3839,148,262,1038,859,158,161,697,545,126,0,1307,310,331,636,741,1,1317,1671,1567,2011,324,927,629,147,5,1,269,68
vOUT733,0,0,1,24,57,193,454,23,2,221,2773,1096,682,87,314,6440,1081,45,70,500,5,19,4666,791,57,5,1072,6,10,102,109,151,749,435,70,32,230,332,101,11,29,2301,107,26,162,7,205,206,40,6532,52,357,10,230,499,4,847,39
vOUT734,35,684,206,28,96,5,1972,56,15,82,99,913,21,145,1099,31128,793,40,108,90,1492,296,512,677,273,295,25,84,79,124,127,21,138,86,23,22,164,109,1302,9876,477,119,68,334,90,66292,1460,82,1342,26183,30,145,322,1013,1534,6760,2226,20
vOUT735,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,7757,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7977,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3783,727,0
vOUT736,78,7,196,300,69,80,2394,5,0,235,7330,177,535,342,162,3740,0,346,687,311,5,393,399,2799,2561,0,294,11,3133,1094,202,761,4358,623,246,57,147,3286,150,0,1409,593,591,468,1440,0,395,870,1228,18215,670,2641,3372,978,0,1,1599,116
vOUT737,0,0,0,28,0,63,0,1,0,1,2,2,0,20,1,1330,1,62,67,717,1988,1,1680,5,1720,0,0,6,3,30,0,0,181,170,156,27,149,0,12,0,631,671,1902,1388,231,0,2,48,41,4,11,262,598,478,647,1,722,0
vOUT738,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,77690,1,0,2,0,3,0,3,0,2,0,4,44,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,48,0,0,0,0,0,0,3,2,0,2,2,0
vOUT739,18041,2295,4114,798,17616,2929,8928,3784,478,5670,36,1197,1302,622,777,847,1066,4416,445,0,118,1894,435,0,2898,17,477,0,1731,7689,1,3135,159,8268,2868,15724,6617,3500,1560,0,2607,949,7844,8,320,0,1719,500,676,0,1679,13797,353,4940,602,92,197,864
vOUT74,292,2,16874,0,0,0,1,0,2,4,11648,6526,1,3286,1339,0,0,3897,0,15,12,8654,1,8,4588,2,578,10305,1,12,372,1100,660,4064,0,788,1009,1341,5652,0,2500,653,266,5147,2,0,7487,27,43,0,5,20,0,1155,4,1,4363,14
