	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
vOUT2321	44.2034824190171	25.4479642376261	2.39423287820688	10.6288592347311	2.18772022261102e-26	7.38136803108957e-23	up
vOUT2264	59.5819929957444	25.8648221048735	2.606064203801	9.92485989683182	3.24558207555499e-23	5.47529696146126e-20	up
vOUT118	84.4711709270203	-27.3490082707056	2.91029207447909	-9.39734142512165	5.59591060029543e-21	6.29353412179893e-18	down
vOUT1252	6.13798415499001	-23.7675850334724	2.54549212031051	-9.33712771838131	9.89828322561165e-21	8.34920190080343e-18	down
vOUT1373	60.52861095088	-26.890054205772	2.91035722677846	-9.23943423795342	2.47804007215774e-20	1.67218144069204e-17	down
vOUT2608	55.0764916753216	-26.7612860776849	2.91037993792056	-9.19511769889591	3.74584293004305e-20	2.10641234099421e-17	down
vOUT1198	31.0970941095012	-25.903247042807	2.91057438467233	-8.89970281440623	5.59964176705713e-19	2.69902733172154e-16	down
vOUT2912	15.7745566173688	23.9546705474677	2.7247837017945	8.79140260993617	1.4770423092365e-18	6.22942593920493e-16	up
vOUT1108	21.5319235175377	-25.479562518029	2.91077225667163	-8.75354039108644	2.0676183948398e-18	7.75127162687722e-16	down
vOUT1798	14.1675378566623	23.8623381907585	2.73272937779722	8.73205315705035	2.5009062747259e-18	8.43805777092517e-16	up
vOUT3170	8.44145989212137	23.1386967898212	2.65717550484371	8.70800470185057	3.09270484537071e-18	9.48616922570979e-16	up
vOUT2064	37.1179204184835	25.2129192396031	2.9103170973043	8.66328939308939	4.58342904822496e-18	1.28870746739259e-15	up
vOUT24	11.8255935298778	-24.3969945801219	2.91129748420502	-8.38011048767278	5.28780419404539e-17	1.37238856543917e-14	down
vOUT922	16.1160583557294	24.0461463927061	2.91056479930588	8.26167704578871	1.43639899349383e-16	3.46172157432014e-14	up
vOUT1393	8.11736667435147	23.0770746271334	2.9109949250136	7.92755577443186	2.23501146016944e-15	5.02728577774112e-13	up
vOUT2136	1051.45840050045	7.76352383735715	0.996433805750946	7.79130915927355	6.63184227084386e-15	1.3984897388642e-12	up
vOUT2138	497.519948897853	5.82135160412229	0.760277312937941	7.6568792795182	1.90505552428657e-14	3.78097490526053e-12	up
vOUT1833	993.739522241679	6.165619866017	0.842597408018059	7.31739714286524	2.52826785254338e-13	4.73909763026743e-11	up
vOUT2319	76.6824121285216	5.59347746309001	0.7887264638474	7.09178367846958	1.32394353132649e-12	2.35104498668188e-10	up
vOUT1627	87.0965425201256	12.2568416680209	1.77664776636126	6.89885856954303	5.24220283618867e-12	8.42247255680979e-10	up
vOUT2035	478.075073027166	9.48471437165681	1.37395614196691	6.90321479845697	5.08386677768443e-12	8.42247255680979e-10	up
vOUT50	92.0456081328471	5.78645234805898	0.891574505282312	6.49015008143008	8.57509084386877e-11	1.31510711396424e-08	up
vOUT567	2959.29412856319	-7.15718142908961	1.10940537028698	-6.45136721056091	1.10845550228372e-10	1.62605602813272e-08	down
vOUT2727	138.447714047251	5.38896022776796	0.841579181855788	6.40339060655544	1.51963748833944e-10	2.13635703569053e-08	up
vOUT390	13.7054163857453	-4.58143124632222	0.71922401823983	-6.36996419771192	1.89072330733161e-10	2.55172017557474e-08	down
vOUT3049	637.26014617215	13.8464747236582	2.20121276502018	6.2903845296987	3.16680537191656e-10	4.1095389710948e-08	up
vOUT3348	709.02355148403	4.67666670349446	0.744565525018362	6.28106801396576	3.36254985990574e-10	4.20194193604517e-08	up
vOUT2525	967.277782704572	5.50110411438727	0.889631539528034	6.18357586254834	6.26655970989934e-10	7.38670347844113e-08	up
vOUT446	359.192571194656	-3.71321809205729	0.600697194431235	-6.18151395824834	6.34897453689368e-10	7.38670347844113e-08	down
vOUT2432	220.314492548135	10.397588369046	1.69990012219812	6.11658781199513	9.56002176310944e-10	1.07518378095771e-07	up
vOUT1786	112.039913187155	4.27342013736856	0.714499260140583	5.98100008742869	2.21771755350328e-09	2.4137351695226e-07	up
vOUT2858	138.319555679421	7.69606457433402	1.28879701370225	5.97151024754938	2.35067293213068e-09	2.47849077281529e-07	up
vOUT743	560.053023421481	-3.98521742295	0.668917086378946	-5.95771509518946	2.55788934743905e-09	2.61524807826042e-07	down
vOUT1339	26783.0603440279	-5.47705936822947	0.925864987097138	-5.91561344748729	3.30640914409413e-09	3.28112483887458e-07	down
vOUT3242	34300.4757579745	3.0833120518343	0.525894733403469	5.8629833234492	4.54623897779807e-09	4.26083619752519e-07	up
vOUT456	11147.5885658722	-3.27160336822071	0.557973612892643	-5.86336574459155	4.53577609451903e-09	4.26083619752519e-07	down
vOUT2884	128.23230082143	7.17590207260379	1.2382804215962	5.7950541310778	6.82991480509709e-09	6.22814393308043e-07	up
vOUT477	112.398937897792	-3.89291303218052	0.677500475258392	-5.74599306472191	9.13830521753206e-09	8.11385310630347e-07	down
vOUT3248	410.505197736234	4.29322460530206	0.779846739205912	5.50521581929507	3.68716288673003e-08	3.18986861021208e-06	up
