"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"vOUT1010",2873.41099793375,1.11745037324389,0.367521404076763,3.04050420151989,0.0023618239631246,0.0351965846114954
"vOUT1016",3548.83604773194,1.51665268452177,0.469613199997451,3.22957847975738,0.00123972850851434,0.0238268759315575
"vOUT1031",970.97244931345,1.44962614454719,0.498252801686704,2.90941895286862,0.00362101258907085,0.0442751084754572
"vOUT1085",1190.24673808893,1.70778074382539,0.54178152822012,3.15215756697326,0.00162068791670478,0.0279977554784871
"vOUT1096",1859.59672305112,2.43189953296132,0.750390467401423,3.24084545127939,0.00119175776387352,0.0238268759315575
"vOUT1099",5608.20767142277,2.73973957808568,0.548350682431765,4.99632747047161,5.84324038464777e-07,0.000183380360738196
"vOUT1101",2468.87043867546,1.71831407282008,0.503806958313879,3.41065966728778,0.000648059275133861,0.0168659690965873
"vOUT1148",14294.7312329428,2.34583942233634,0.527557490911246,4.44660432796508,8.72383083397378e-06,0.000864577550545928
"vOUT1180",20985.8647291915,2.73749211246262,0.899587153742002,3.04305380648836,0.00234190454901059,0.0351965846114954
"vOUT1215",33198.8021720618,2.13596063750511,0.661361985127245,3.22963926796329,0.00123946497699543,0.0238268759315575
"vOUT1216",60029.7381748192,1.96303812651237,0.518820959091517,3.78365232189108,0.000154543669872578,0.00709770074073327
"vOUT1234",22641.502417707,2.20087038844944,0.60262421685758,3.6521439512106,0.000260060028448263,0.010201938199335
"vOUT1235",15967.1447807479,2.03490321220166,0.576106555858392,3.53216465167573,0.000412172633580918,0.013381397741946
"vOUT1239",16642.0710354605,1.77841219186284,0.523045991363906,3.40010672335986,0.00067359556592739,0.0168659690965873
"vOUT1256",1672.60959044676,1.63078383508675,0.534379826958948,3.05173165755008,0.00227525404424462,0.0346445478692042
"vOUT1293",24058.5533473035,1.27030683172297,0.373540844892269,3.40071734883325,0.000672092823683127,0.0168659690965873
"vOUT13",5759.04195329601,2.45568990476459,0.691543736626712,3.55102616754686,0.000383732262684995,0.0132578178494185
"vOUT1309",332.714029044758,-1.9342840599295,0.585343307074519,-3.30452921653249,0.000951360593531629,0.02059094250138
"vOUT1339",28964.6342639911,5.57998246742231,0.916756324084508,6.08665827639051,1.15291679345353e-09,2.170942322073e-06
"vOUT1344",2451.7687689979,1.82880521261955,0.540009423533644,3.38661721984859,0.000707600402883909,0.0168659690965873
"vOUT1385",1345.70812302432,2.87881712891895,0.657549028839558,4.37810262452898,1.19716979258179e-05,0.00107346224734834
"vOUT1399",3654.88237976157,1.3789396404101,0.45885082201405,3.0052025064649,0.00265404082215108,0.0367467563831653
"vOUT1448",10497.9617172593,-1.7926812452993,0.435292879811296,-4.11833349095085,3.81622161601893e-05,0.00266146122331987
"vOUT1504",861.918355673901,1.90547676919755,0.634725607152805,3.00204804678508,0.0026816984641744,0.0368586730513897
"vOUT1538",492.181742031813,2.04792976415327,0.638593249129741,3.20693926367705,0.00134155316560228,0.02495413396067
"vOUT1579",2559.12020393663,2.15609404388617,0.752867688807344,2.86384191530619,0.00418536834819742,0.0488795091854273
"vOUT1598",3493.15841581253,-1.26856011331796,0.356467718752134,-3.55869563100618,0.000372701134624953,0.0132414384245054
"vOUT1607",1597.685829759,-1.94734531341233,0.402119013878511,-4.84270886529296,1.28080886587114e-06,0.000267973677159485
"vOUT1608",3424.29146577464,-1.80511054075751,0.599561300012404,-3.01071890517311,0.00260630006092337,0.0365560502308668
"vOUT1659",2255.47772804804,-2.61077441916308,0.584775700115416,-4.46457405574102,8.02281963176898e-06,0.000839276075923388
"vOUT1672",22478.9300912696,-1.70482270217713,0.521370346896581,-3.26988811758275,0.00107590029276556,0.022262859904149
"vOUT168",629.332952190235,2.58654347935102,0.744483691627752,3.47427822588801,0.000512229601362237,0.014727656996652
"vOUT1681",3556.98828247438,-2.12580792447944,0.614818854757319,-3.45761667527021,0.000544976201610778,0.014727656996652
"vOUT1690",564.998649284143,-2.18149212408863,0.649790436868051,-3.35722411459807,0.000787292690629802,0.0176484778149514
"vOUT1694",4888.4765788855,-1.92364731856001,0.638398218604443,-3.01324042345412,0.00258474056149398,0.0365560502308668
"vOUT1701",1203.9153642987,-1.81376931490332,0.459628424671899,-3.94616437440321,7.94131063421216e-05,0.00415374664561708
"vOUT1736",1091.98177134189,-3.62461210066031,0.862113102167631,-4.20433478107091,2.61851126696483e-05,0.00212704224305415
"vOUT177",4495.12505592058,2.05667012997642,0.592855676621302,3.46909072659543,0.000522223067737381,0.014727656996652
"vOUT182",1809.45524076256,1.43384746629142,0.461611181289841,3.1061801022344,0.00189521246253791,0.0310320440605121
"vOUT1835",3732.56071238029,-2.43709501711057,0.5875873707898,-4.14763001770233,3.35934699317328e-05,0.00243294245697896
"vOUT1841",5294.64155268097,3.81976693257402,1.01181267281037,3.77517206022376,0.000159897256757135,0.00716872701127821
"vOUT190",604.915047481762,2.63331910296402,0.737789427112816,3.56920146344325,0.000358070996012631,0.0129663016440728
"vOUT1920",15360.9727556034,-2.13327292314051,0.601471847168426,-3.54675440452185,0.000390007982809816,0.0132578178494185
"vOUT1922",4314.91225387494,-2.89583233006123,0.64262699924426,-4.50624130867015,6.59860437957464e-06,0.00077657325292119
"vOUT1923",1861.54382905646,-2.80740748760166,0.565944972536844,-4.96056617486586,7.02880107943165e-07,0.000185474471687883
"vOUT1925",1773.86107191923,-4.67151297578123,1.41857992501219,-3.29309113530637,0.000990923491292733,0.0212035106148206
"vOUT194",81122.3720878187,1.60591331044404,0.533698436672523,3.00902757080668,0.00262085330916995,0.0365560502308668
